gom 0.3.2+12+gc7bd13d-1
google-chrome 55.0.2883.87-1
gparted 0.27.0-1
gpgme 1.7.1-2
gpm 1.20.7-7
graphene 1.4.0-1
graphite 1:1.3.9-1
grep 2.27-1
grilo 0.3.2+8+g6ffe445-1
grilo-plugins 0.3.3+7+gab5596b-1
groff 1.22.3-7
grub 1:2.02.beta3-4
grub2-theme-antergos 0.1-1
gsettings-desktop-schemas 3.22.0+1+g6f52ab5-1
gsfonts 20160531-3
gsm 1.0.14-1
gspell 1.2.1-1
gssdp 1.0.1-1
gssproxy 0.5.1-2
gst-libav 1.10.2-1
gst-plugins-bad 1.10.2-2
gst-plugins-base 1.10.2-1
gst-plugins-base-libs 1.10.2-1
gst-plugins-good 1.10.2-1
gst-plugins-ugly 1.10.2-1
gstreamer 1.10.2-1
gstreamer-vaapi 1.10.2-1
gstreamer0.10 0.10.36-4
gstreamer0.10-bad 0.10.23-20
gstreamer0.10-bad-plugins 0.10.23-20
gstreamer0.10-base 0.10.36-3
gstreamer0.10-base-plugins 0.10.36-3
gstreamer0.10-ffmpeg 0.10.13-2
gstreamer0.10-good 0.10.31-11
gstreamer0.10-good-plugins 0.10.31-11
gstreamer0.10-ugly 0.10.19-16
gstreamer0.10-ugly-plugins 0.10.19-16
gtk-arc-flatabulous-theme-git 668.bb41d28-1
gtk-engine-murrine 0.98.2-2
gtk-update-icon-cache 3.22.5-1
gtk2 2.24.31-1
gtk3 3.22.5-1
gtk3-print-backends 3.22.5-1
gtkmm 2.24.4-2
gtkmm3 3.22.0-1
gtksourceview3 3.22.2-1
gtkspell 2.0.16-3
guile 2.0.13-2
gupnp 1.0.1-1
gupnp-av 0.12.10-1
gupnp-dlna 0.10.5-1
gvfs 1.30.3-1
gvfs-mtp 1.30.3-1
gvfs-smb 1.30.3-1
gzip 1.8-2
harfbuzz 1.3.4-1
harfbuzz-icu 1.3.4-1
haveged 1.9.1-2
hdf5 1.10.0_patch1-1
hicolor-icon-theme 0.15-1
hplip 3.16.11-1
hspell 1.3-1
hunspell 1.5.4-1
hunspell-en 2016.11.20-1
hwids 20161103-1
hyphen 2.8.8-1
iana-etc 20161101-1
icoutils 0.31.0-1
icu 58.2-1
idnkit 1.0-3
ijs 0.35-1
imagemagick 6.9.6.8-1
imlib2 1.4.9-1
inetutils 1.9.4-5
iniparser 4.0-2
inputproto 2.3.2-1
iproute2 4.9.0-1
iptables 1.6.0-1
iputils 20161105.1f2bb12-1
ipw2100-fw 1.3-7
ipw2200-fw 3.1-5
iso-codes 3.70-1
iw 4.9-1
jack 0.125.0-3
jansson 2.9-1
jasper 1.900.31-1
jbig2dec 0.13-1
jfsutils 1.1.15-4
js 24.2.0-4
js17 17.0.0-4
json-c 0.12.1-1
json-glib 1.2.2+4+gd725fb5-1
jsoncpp 1.7.7-1
karchive 5.29.0-1
kauth 5.29.0-1
kbd 2.0.3-1
kbookmarks 5.29.0-1
kbproto 1.0.7-1
kcmutils 5.29.0-1
kcodecs 5.29.0-1
kcompletion 5.29.0-1
kconfig 5.29.0-1
kconfigwidgets 5.29.0-1
kcoreaddons 5.29.0-1
kcrash 5.29.0-1
kdbusaddons 5.29.0-1
kdeclarative 5.29.0-1
kdeconnect 1.0.3-1
kded 5.29.0-1
kdenlive 16.12.0-1
keyutils 1.5.9-1
kfilemetadata 5.29.0-1
kglobalaccel 5.29.0-1
kguiaddons 5.29.0-1
ki18n 5.29.0-1
kiconthemes 5.29.0-1
kinit 5.29.0-1
kio 5.29.0-1
kitemviews 5.29.0-1
kjobwidgets 5.29.0-1
kmod 23-1
knewstuff 5.29.0-1
knotifications 5.29.0-1
knotifyconfig 5.29.0-1
kpackage 5.29.1-1
krb5 1.13.7-1
kservice 5.29.0-1
ktextwidgets 5.29.0-1
kwallet 5.29.0-1
kwayland 5.29.0-1
kwidgetsaddons 5.29.0-1
kwindowsystem 5.29.0-1
kxmlgui 5.29.0-1
ladspa 1.13-6
lame 3.99.5-3
lcms2 2.8-1
ldb 1.1.29-1
ldns 1.6.17-4
less 487-1
lib32-acl 2.2.52-2
lib32-alsa-lib 1.1.2-1
lib32-alsa-plugins 1.1.1-1
lib32-atk 2.22+1+gd57f97d-1
lib32-attr 2.4.47-1
lib32-bzip2 1.0.6-2
lib32-cairo 1.14.6-2
lib32-cracklib 2.9.6-1
lib32-curl 7.51.0-1
lib32-dbus 1.10.12-1
lib32-dbus-glib 0.108-1
lib32-e2fsprogs 1.43.3-1
lib32-expat 2.2.0-1
lib32-flac 1.3.1-2
lib32-fontconfig 2.12.1-1
lib32-freeglut 3.0.0-1
lib32-freetype2 2.7-2
lib32-gcc-libs 6.2.1-1
